date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,new_tests,total_tests,positive_rate,tests_per_case,people_vaccinated,people_fully_vaccinated,new_vaccinations
2020-12-26,430562,2369,7204,34,11665.009,64.182,195.175,0.921,0.83,14850,4384421,0.158,6.3,,,
2020-12-27,432079,1517,7240,36,11706.109,41.099,196.15,0.975,0.82,10409,4394830,0.159,6.3,,,
2020-12-28,433029,950,7272,32,11731.846,25.738,197.017,0.867,0.81,9578,4404408,0.156,6.4,,,
2020-12-29,435189,2160,7314,42,11790.366,58.52,198.155,1.138,0.81,17466,4421874,0.147,6.8,,,
2020-12-30,437332,2143,7355,41,11848.426,58.059,199.265,1.111,0.8,17806,4439680,0.14,7.1,,,
2020-12-31,439193,1861,7388,33,11898.845,50.419,200.16,0.894,0.79,17669,4457349,0.13,7.7,,,
2021-01-01,440970,1777,7425,37,11946.988,48.143,201.162,1.002,0.78,16355,4473704,0.123,8.1,,,
2021-01-02,442141,1171,7452,27,11978.714,31.725,201.893,0.731,0.77,13280,4486984,0.113,8.9,,,
2021-01-03,443146,1005,7485,33,12005.941,27.228,202.788,0.894,0.78,12450,4499434,0.106,9.5,,,
2021-01-04,443802,656,7538,53,12023.714,17.773,204.223,1.436,0.78,7858,4507292,0.105,9.6,,,
2021-01-05,445439,1637,7581,43,12068.065,44.35,205.388,1.165,0.79,17131,4524423,0.1,10,,,
2021-01-06,447081,1642,7618,37,12112.551,44.486,206.391,1.002,0.79,16953,4541376,0.096,10.4,,,
2021-01-07,448678,1597,7645,27,12155.817,43.267,207.122,0.731,0.79,18378,4559754,0.093,10.8,,,
2021-01-08,450221,1543,7685,40,12197.621,41.804,208.206,1.084,0.79,17544,4577298,0.089,11.2,,,
2021-01-09,451637,1416,7709,24,12235.984,38.363,208.856,0.65,0.79,21574,4598872,0.085,11.8,,,
2021-01-10,452532,895,7743,34,12260.232,24.248,209.777,0.921,0.79,15268,4614140,0.082,12.2,,,
2021-01-11,452988,456,7767,24,12272.586,12.354,210.428,0.65,0.78,6883,4621023,0.081,12.4,,,
2021-01-12,453789,801,7784,17,12294.287,21.701,210.888,0.461,0.78,10354,4631377,0.078,12.8,,,
2021-01-13,455055,1266,7810,26,12328.586,34.299,211.593,0.704,0.79,18017,4649394,0.074,13.5,,,
2021-01-14,456334,1279,7854,44,12363.238,34.651,212.785,1.192,0.81,19860,4669254,0.07,14.3,,,
2021-01-15,457625,1291,7888,34,12398.214,34.976,213.706,0.921,0.82,20621,4689875,0.066,15.2,,,
2021-01-16,458865,1240,7911,23,12431.809,33.595,214.329,0.623,0.83,19823,4709698,0.065,15.3,,,
2021-01-17,459671,806,7942,31,12453.645,21.837,215.169,0.84,0.83,16372,4726070,0.064,15.7,,,
2021-01-18,460144,473,7977,35,12466.46,12.815,216.117,0.948,0.83,7828,4733898,0.063,15.8,,,
2021-01-19,461390,1246,8011,34,12500.217,33.757,217.038,0.921,0.83,15970,4749868,0.064,15.6,,,
2021-01-20,462542,1152,8043,32,12531.428,31.211,217.905,0.867,0.83,15514,4765382,0.065,15.5,,,
2021-01-21,463706,1164,8076,33,12562.964,31.536,218.799,0.894,0.82,15995,4781377,0.066,15.2,,,
2021-01-22,464844,1138,8105,29,12593.795,30.831,219.585,0.786,0.82,15833,4797210,0.067,14.9,,,
2021-01-23,465769,925,8128,23,12618.856,25.061,220.208,0.623,0.81,16330,4813540,0.066,15,,,
2021-01-24,466289,520,8150,22,12632.944,14.088,220.804,0.596,0.8,9082,4822622,0.069,14.6,,,
2021-01-25,466626,337,8172,22,12642.074,9.13,221.4,0.596,0.8,5779,4828401,0.069,14.6,,,
2021-01-26,467493,867,8187,15,12665.563,23.489,221.806,0.406,0.8,12060,4840461,0.067,14.8,,,
2021-01-27,468383,890,8207,20,12689.675,24.112,222.348,0.542,0.79,13477,4853938,0.066,15.2,,,
2021-01-28,469139,756,8224,17,12710.157,20.482,222.809,0.461,0.79,641,4854579,0.074,13.5,,,
2021-01-29,469990,851,8246,22,12733.213,23.056,223.405,0.596,0.79,14099,4868678,0.072,13.9,,,
2021-01-30,470691,701,8259,13,12752.205,18.992,223.757,0.352,0.8,14415,4883093,0.071,14.1,,,
2021-01-31,471157,466,8275,16,12764.83,12.625,224.191,0.433,0.8,21740,4904833,0.059,16.9,,,36000
2021-02-01,471438,281,8287,12,12772.443,7.613,224.516,0.325,0.8,4970,4909803,0.059,16.9,,,74081
2021-02-02,472273,835,8309,22,12795.065,22.622,225.112,0.596,0.8,11202,4921005,0.059,16.8,,,57210
2021-02-03,473047,774,8323,14,12816.035,20.97,225.491,0.379,0.8,12651,4933656,0.059,17.1,,,51107
2021-02-04,473667,620,8351,28,12832.832,16.797,226.25,0.759,0.8,,,0.05,20.2,,,43325
2021-02-05,474379,712,8368,17,12852.122,19.29,226.71,0.461,0.79,,4958235,0.049,20.4,,,56512
2021-02-06,474966,587,8381,13,12868.025,15.903,227.062,0.352,0.79,13593,4971828,0.048,20.8,,,55731
2021-02-07,475355,389,8394,13,12878.564,10.539,227.415,0.352,0.79,8346,4980174,0.056,17.9,,,
2021-02-08,475589,234,8408,14,12884.904,6.34,227.794,0.379,0.79,5120,4985294,0.055,18.2,,,
2021-02-09,476125,536,8424,16,12899.426,14.522,228.227,0.433,0.78,9378,4994672,0.052,19.1,,,65032
2021-02-10,476689,564,8436,12,12914.706,15.28,228.552,0.325,0.78,10840,5005512,0.051,19.7,,,130935
2021-02-11,477160,471,8440,4,12927.466,12.761,228.661,0.108,0.79,10456,5015968,0.05,20,,,109202
2021-02-12,477656,496,8450,10,12940.904,13.438,228.932,0.271,0.79,11125,5027093,0.048,21,,,256785
2021-02-13,478135,479,8460,10,12953.882,12.977,229.203,0.271,0.8,10958,5038051,0.048,20.9,,,276436
2021-02-14,478474,339,8477,17,12963.066,9.184,229.663,0.461,0.81,7779,5045830,0.048,21,,,
2021-02-15,478595,121,8491,14,12966.344,3.278,230.043,0.379,0.82,4367,5050197,0.046,21.6,,,
2021-02-16,479071,476,8504,13,12979.24,12.896,230.395,0.352,0.82,8950,5059147,0.046,21.9,,,197078
2021-02-17,479579,508,8517,13,12993.003,13.763,230.747,0.352,0.83,9601,5068748,0.046,21.9,,,176844
2021-02-18,480056,477,8524,7,13005.926,12.923,230.937,0.19,0.84,10589,5079337,0.046,21.9,,,152110
2021-02-19,480504,448,8540,16,13018.064,12.137,231.37,0.433,0.84,9886,5089223,0.046,21.8,2357283,4867,129027
2021-02-20,480948,444,8548,8,13030.093,12.029,231.587,0.217,0.85,9972,5099195,0.046,21.7,2447716,13476,99042
2021-02-21,481155,207,8554,6,13035.701,5.608,231.749,0.163,0.86,7788,5106983,0.044,22.8,,,
2021-02-22,481263,108,8559,5,13038.627,2.926,231.885,0.135,0.87,4890,5111873,0.043,23.1,2552017,23667,
2021-02-23,481709,446,8574,15,13050.71,12.083,232.291,0.406,0.88,8507,5120380,0.043,23.2,2635859,31232,91407
2021-02-24,482128,419,8592,18,13062.062,11.352,232.779,0.488,0.89,9351,5129731,0.042,23.9,2911635,37310,281854
2021-02-25,482514,386,8598,6,13072.52,10.458,232.941,0.163,0.9,10478,5140209,0.04,24.8,3160479,43626,255160
2021-02-26,482994,480,8608,10,13085.524,13.004,233.212,0.271,0.92,11509,5151718,0.04,25.1,3327858,96437,220190
2021-02-27,483410,416,8615,7,13096.795,11.27,233.402,0.19,0.93,12003,5163721,0.038,26.2,3435997,161906,173608
2021-02-28,483654,244,8623,8,13103.405,6.611,233.619,0.217,0.94,,,0.039,25.8,,,
2021-03-01,483766,112,8637,14,13106.44,3.034,233.998,0.379,0.95,,,0.037,26.9,3568670,232980,
2021-03-02,484159,393,8645,8,13117.087,10.647,234.215,0.217,0.96,,5186942,0.037,27.2,3657468,293857,149675
2021-03-03,484753,594,8653,8,13133.18,16.093,234.432,0.217,0.98,10654,5197596,0.039,25.9,3745173,360689,154537
2021-03-04,485147,394,8669,16,13143.854,10.674,234.865,0.433,0.98,13020,5210616,0.037,26.7,3820097,413032,127267
2021-03-05,485567,420,8673,4,13155.233,11.379,234.973,0.108,0.98,12288,5222904,0.036,27.7,3877687,499942,144500
2021-03-06,485974,407,8676,3,13166.26,11.027,235.055,0.081,0.99,11672,5234576,0.036,27.6,3913615,578942,114928
2021-03-07,486223,249,8682,6,13173.006,6.746,235.217,0.163,0.99,8624,5243200,0.036,27.9,,,
2021-03-08,486325,102,8683,1,13175.769,2.763,235.244,0.027,1,4184,5247384,0.038,26.6,3961941,651351,
2021-03-09,486833,508,8695,12,13189.532,13.763,235.569,0.325,1.01,9295,5256679,0.038,26.1,4017087,717113,120908
2021-03-10,487286,453,8705,10,13201.805,12.273,235.84,0.271,1.02,10968,5267647,0.036,27.7,4080009,854274,200083
2021-03-11,487750,464,8712,7,13214.376,12.571,236.03,0.19,1.03,12344,5279991,0.038,26.7,4130606,972079,168402
2021-03-12,488181,431,8716,4,13226.053,11.677,236.138,0.108,1.03,13082,5293073,0.037,26.8,4169133,1224959,291407
2021-03-13,488632,451,8718,2,13238.272,12.219,236.193,0.054,1.04,11923,5304996,0.038,26.5,4210770,1471738,288416
2021-03-14,488937,305,8723,5,13246.535,8.263,236.328,0.135,1.04,7605,5312601,0.039,25.6,,,
2021-03-15,489096,159,8733,10,13250.843,4.308,236.599,0.271,1.04,3519,5316120,0.04,24.8,4225311,1767472,
2021-03-16,489622,526,8737,4,13265.093,14.251,236.707,0.108,1.04,10809,5326929,0.04,25.2,4236386,1960996,204599
2021-03-17,490088,466,8745,8,13277.719,12.625,236.924,0.217,1.04,9960,5336889,0.04,24.7,4244651,2116081,163350
2021-03-18,490575,487,8748,3,13290.913,13.194,237.005,0.081,1.04,10285,5347174,0.042,23.8,,,
2021-03-19,491019,444,8755,7,13302.942,12.029,237.195,0.19,1.04,10281,5357455,0.044,22.7,4258813,2352348,
2021-03-20,491463,444,8763,8,13314.971,12.029,237.412,0.217,1.04,11678,5369133,0.044,22.7,4264168,2423380,76387
2021-03-21,491709,246,8767,4,13321.636,6.665,237.52,0.108,1.05,6358,5375491,0.044,22.7,,,
2021-03-22,491834,125,8769,2,13325.022,3.387,237.574,0.054,1.05,4429,5379920,0.043,23.3,4264761,2516742,
2021-03-23,492403,569,8775,6,13340.438,15.416,237.737,0.163,1.06,9786,5389706,0.044,22.6,4265196,2593204,76897
2021-03-24,492842,439,8786,11,13352.331,11.894,238.035,0.298,1.07,10064,5399770,0.044,22.8,4284060,2844916,270576
2021-03-25,493353,511,8788,2,13366.176,13.844,238.089,0.054,1.08,11564,5411334,0.043,23.1,4289281,3071117,231422
2021-03-26,493867,514,8793,5,13380.101,13.926,238.225,0.135,1.09,12072,5423406,0.043,23.2,4293544,3231742,164888
2021-03-27,494358,491,8798,5,13393.404,13.302,238.36,0.135,1.09,12594,5436000,0.043,23.1,4302183,3332292,109189
2021-03-28,494659,301,8798,0,13401.558,8.155,238.36,0,1.1,7945,5443945,0.043,23.2,,,
2021-03-29,494756,97,8807,9,13404.186,2.628,238.604,0.244,1.11,4206,5448151,0.043,23.4,4302897,3455603,
2021-03-30,495421,665,8813,6,13422.203,18.017,238.766,0.163,1.13,11935,5460086,0.043,23.3,4315802,3566498,123800
2021-03-31,496097,676,8818,5,13440.517,18.315,238.902,0.135,1.14,13297,5473383,0.044,22.6,4320349,3674251,112300
2021-04-01,496676,579,8825,7,13456.204,15.687,239.091,0.19,1.13,,,,,4329244,3767210,101854
2021-04-02,497257,581,8835,10,13471.945,15.741,239.362,0.271,1.13,,,,,4331082,3840569,75197
2021-04-03,497832,575,8842,7,13487.523,15.578,239.552,0.19,1.13,,,,,4348995,3891875,69219
2021-04-04,498197,365,8850,8,13497.412,9.889,239.769,0.217,,,,,,,,
2021-04-05,498329,132,8857,7,13500.988,3.576,239.958,0.19,,,,,,,,
